Trade_Time,Price_USD,Volume_BTC,Symbol
2025-09-30 01:41:57.243,114405.1,0.001,BTCUSDT
2025-09-30 01:41:57.243,114405.1,0.001,BTCUSDT
2025-09-30 01:41:57.243,114405.1,0.002,BTCUSDT
2025-09-30 01:41:57.243,114404.9,0.001,BTCUSDT
2025-09-30 01:41:57.243,114404.9,0.004,BTCUSDT
2025-09-30 01:41:57.243,114404.9,0.002,BTCUSDT
2025-09-30 01:41:57.243,114404.8,0.004,BTCUSDT
2025-09-30 01:41:57.243,114404.8,0.002,BTCUSDT
2025-09-30 01:41:57.243,114404.7,0.002,BTCUSDT
2025-09-30 01:41:57.243,114404.6,0.086,BTCUSDT
2025-09-30 01:41:57.243,114404.5,0.002,BTCUSDT
2025-09-30 01:41:57.243,114404.4,0.001,BTCUSDT
2025-09-30 01:41:57.243,114404.4,0.001,BTCUSDT
2025-09-30 01:41:57.243,114404.4,0.001,BTCUSDT
2025-09-30 01:41:57.243,114404.2,0.002,BTCUSDT
2025-09-30 01:41:57.243,114404.1,0.001,BTCUSDT
2025-09-30 01:41:57.243,114403.6,0.002,BTCUSDT
2025-09-30 01:41:57.243,114403.3,0.001,BTCUSDT
2025-09-30 01:41:57.243,114403.2,0.002,BTCUSDT
2025-09-30 01:41:57.243,114403.2,0.009,BTCUSDT
2025-09-30 01:41:57.243,114403.0,0.002,BTCUSDT
2025-09-30 01:41:57.243,114402.9,0.001,BTCUSDT
2025-09-30 01:41:57.243,114402.7,0.001,BTCUSDT
2025-09-30 01:41:57.243,114402.7,0.003,BTCUSDT
2025-09-30 01:41:57.243,114402.4,0.002,BTCUSDT
2025-09-30 01:41:57.243,114402.4,0.017,BTCUSDT
2025-09-30 01:41:57.243,114402.3,0.005,BTCUSDT
2025-09-30 01:41:57.243,114402.3,0.066,BTCUSDT
2025-09-30 01:41:57.243,114402.2,0.002,BTCUSDT
2025-09-30 01:41:57.243,114402.0,0.001,BTCUSDT
2025-09-30 01:41:57.243,114401.9,0.029,BTCUSDT
2025-09-30 01:41:57.243,114401.8,0.002,BTCUSDT
2025-09-30 01:41:57.243,114401.7,0.384,BTCUSDT
2025-09-30 01:41:57.243,114401.7,0.003,BTCUSDT
2025-09-30 01:41:57.243,114401.6,0.004,BTCUSDT
2025-09-30 01:41:57.243,114401.4,0.001,BTCUSDT
2025-09-30 01:41:57.243,114401.4,0.036,BTCUSDT
2025-09-30 01:41:57.243,114401.2,0.002,BTCUSDT
2025-09-30 01:41:57.243,114401.1,0.002,BTCUSDT
2025-09-30 01:41:57.243,114401.1,0.001,BTCUSDT
2025-09-30 01:41:57.243,114401.1,0.491,BTCUSDT
2025-09-30 01:41:57.244,114401.1,0.345,BTCUSDT
2025-09-30 01:41:57.244,114401.1,0.027,BTCUSDT
2025-09-30 01:41:57.244,114401.1,0.01,BTCUSDT
2025-09-30 01:41:57.244,114401.0,0.001,BTCUSDT
2025-09-30 01:41:57.245,114400.8,0.001,BTCUSDT
2025-09-30 01:41:57.245,114400.7,0.001,BTCUSDT
2025-09-30 01:41:57.245,114400.6,0.002,BTCUSDT
2025-09-30 01:41:57.245,114400.2,0.023,BTCUSDT
2025-09-30 01:41:57.246,114400.2,0.023,BTCUSDT
2025-09-30 01:41:57.246,114400.2,0.031,BTCUSDT
2025-09-30 01:41:57.246,114400.2,0.028,BTCUSDT
2025-09-30 01:41:57.247,114400.2,0.006,BTCUSDT
2025-09-30 01:41:57.247,114400.1,0.006,BTCUSDT
2025-09-30 01:41:57.247,114400.0,0.01,BTCUSDT
2025-09-30 01:41:57.247,114400.0,0.006,BTCUSDT
2025-09-30 01:41:57.247,114400.0,0.001,BTCUSDT
2025-09-30 01:41:57.247,114400.0,0.188,BTCUSDT
2025-09-30 01:41:57.248,114400.0,0.492,BTCUSDT
2025-09-30 01:41:57.248,114400.0,0.185,BTCUSDT
2025-09-30 01:41:57.248,114400.0,0.007,BTCUSDT
2025-09-30 01:41:57.248,114400.0,0.035,BTCUSDT
2025-09-30 01:41:57.248,114400.0,0.01,BTCUSDT
2025-09-30 01:41:57.248,114400.0,0.017,BTCUSDT
2025-09-30 01:41:57.257,114400.0,0.02,BTCUSDT
2025-09-30 01:41:57.283,114400.0,0.004,BTCUSDT
2025-09-30 01:41:57.286,114400.0,0.01,BTCUSDT
2025-09-30 01:41:57.286,114400.0,0.05,BTCUSDT
2025-09-30 01:41:57.286,114400.0,0.105,BTCUSDT
2025-09-30 01:41:57.286,114400.0,0.002,BTCUSDT
2025-09-30 01:41:57.286,114400.0,0.001,BTCUSDT
2025-09-30 01:41:57.286,114400.0,0.003,BTCUSDT
2025-09-30 01:41:57.286,114400.0,0.006,BTCUSDT
2025-09-30 01:41:57.286,114400.0,0.008,BTCUSDT
2025-09-30 01:41:57.286,114400.0,0.001,BTCUSDT
2025-09-30 01:41:57.286,114400.0,0.64,BTCUSDT
2025-09-30 01:41:57.290,114400.0,0.105,BTCUSDT
2025-09-30 01:41:57.295,114400.0,0.001,BTCUSDT
2025-09-30 01:41:57.325,114400.0,0.093,BTCUSDT
2025-09-30 01:41:57.339,114400.0,0.017,BTCUSDT
2025-09-30 01:41:57.402,114400.0,0.144,BTCUSDT
2025-09-30 01:41:57.402,114400.0,0.194,BTCUSDT
2025-09-30 01:41:57.402,114400.0,0.066,BTCUSDT
2025-09-30 01:41:57.402,114400.0,0.002,BTCUSDT
2025-09-30 01:41:57.402,114400.0,0.001,BTCUSDT
2025-09-30 01:41:57.402,114400.0,0.001,BTCUSDT
2025-09-30 01:41:57.402,114400.0,0.001,BTCUSDT
2025-09-30 01:41:57.402,114400.0,0.001,BTCUSDT
2025-09-30 01:41:57.402,114400.0,0.001,BTCUSDT
2025-09-30 01:41:57.402,114400.0,0.001,BTCUSDT
2025-09-30 01:41:57.402,114400.0,0.001,BTCUSDT
2025-09-30 01:41:57.402,114400.0,0.001,BTCUSDT
2025-09-30 01:41:57.402,114400.0,0.001,BTCUSDT
2025-09-30 01:41:57.402,114400.0,0.001,BTCUSDT
2025-09-30 01:41:57.402,114400.0,0.001,BTCUSDT
2025-09-30 01:41:57.402,114400.0,0.276,BTCUSDT
2025-09-30 01:41:57.402,114400.0,0.002,BTCUSDT
2025-09-30 01:41:57.402,114400.0,0.001,BTCUSDT
2025-09-30 01:41:57.402,114399.9,0.001,BTCUSDT
2025-09-30 01:41:57.402,114399.9,0.001,BTCUSDT
2025-09-30 01:41:57.402,114399.9,0.001,BTCUSDT
2025-09-30 01:41:57.420,114399.8,0.001,BTCUSDT
2025-09-30 01:41:57.459,114399.9,0.037,BTCUSDT
2025-09-30 01:41:57.598,114399.8,0.806,BTCUSDT
2025-09-30 01:41:57.832,114399.8,0.071,BTCUSDT
2025-09-30 01:41:58.012,114399.9,0.001,BTCUSDT
2025-09-30 01:41:58.036,114399.8,0.622,BTCUSDT
2025-09-30 01:41:58.036,114399.8,0.001,BTCUSDT
2025-09-30 01:41:58.036,114399.8,0.001,BTCUSDT
2025-09-30 01:41:58.036,114399.8,0.001,BTCUSDT
2025-09-30 01:41:58.036,114399.8,0.014,BTCUSDT
2025-09-30 01:41:58.036,114399.8,0.002,BTCUSDT
2025-09-30 01:41:58.036,114399.8,0.002,BTCUSDT
2025-09-30 01:41:58.036,114399.7,0.001,BTCUSDT
2025-09-30 01:41:58.036,114399.7,0.001,BTCUSDT
2025-09-30 01:41:58.036,114399.7,0.001,BTCUSDT
2025-09-30 01:41:58.036,114399.4,0.002,BTCUSDT
2025-09-30 01:41:58.036,114399.0,0.002,BTCUSDT
2025-09-30 01:41:58.036,114399.0,0.001,BTCUSDT
2025-09-30 01:41:58.036,114398.9,0.002,BTCUSDT
2025-09-30 01:41:58.036,114398.8,0.002,BTCUSDT
2025-09-30 01:41:58.036,114398.2,0.003,BTCUSDT
2025-09-30 01:41:58.036,114398.2,0.002,BTCUSDT
2025-09-30 01:41:58.036,114398.0,0.001,BTCUSDT
2025-09-30 01:41:58.036,114397.9,0.001,BTCUSDT
2025-09-30 01:41:58.036,114397.8,0.002,BTCUSDT
2025-09-30 01:41:58.036,114397.8,0.001,BTCUSDT
2025-09-30 01:41:58.036,114397.6,0.001,BTCUSDT
2025-09-30 01:41:58.036,114397.6,0.002,BTCUSDT
2025-09-30 01:41:58.036,114397.5,0.004,BTCUSDT
2025-09-30 01:41:58.036,114397.4,0.001,BTCUSDT
2025-09-30 01:41:58.036,114397.3,0.001,BTCUSDT
2025-09-30 01:41:58.036,114397.3,0.002,BTCUSDT
2025-09-30 01:41:58.036,114397.2,0.002,BTCUSDT
2025-09-30 01:41:58.036,114397.2,0.01,BTCUSDT
2025-09-30 01:41:58.036,114397.1,0.002,BTCUSDT
2025-09-30 01:41:58.036,114397.0,0.002,BTCUSDT
2025-09-30 01:41:58.036,114396.7,0.002,BTCUSDT
2025-09-30 01:41:58.036,114396.5,0.001,BTCUSDT
2025-09-30 01:41:58.036,114396.5,0.042,BTCUSDT
2025-09-30 01:41:58.036,114396.4,0.02,BTCUSDT
